PubName,Longitude,Latitude
"The Fisherman's Tavern",-2.8769442,56.4652981
"Brewery Tavern",-2.1160327,53.5407999
"Setreight's Tavern",-8.7578471,52.6939994
"St James Tavern",-0.065873,51.4954065
"The Sheepwalk Tavern",-0.2712547,51.5078759
"Greenacres Tavern Freehouse",-0.4490706,51.7414121
"St Edmunds Tavern",0.709459,52.2473992
"The Crown Tavern",-2.5787543,51.4585848
"The Rhubarb Tavern",-2.5667003,51.4521824
"The Golf Tavern",-3.2036509,55.9398851
"Elm Tree Park Tavern",-0.1176149,51.4492212
"Whitehall Tavern",-2.5573843,51.4628579
"Union Tavern",-2.7489636,54.3320307
"The Tavern",-2.7419805,53.3849115
"The Horseley Tavern",-2.0461386,52.525794
"The National Tavern",-8.4538963,51.9093335
"The Tower Tavern",-0.1398826,51.5212746
"The Alma Tavern",-0.0807355,51.3793468
"The Railway Tavern",-0.0833132,51.5174357
"Wells Tavern",-3.5228268,50.7300024
"The Railway Tavern",-2.5302203,51.479186
"Raynes Park Tavern",-0.230301,51.4095914
"The Woodbine Tavern (closed)",-1.9330899,52.5042212
"Pump Tavern",-1.9362514,52.5037785
"Smuggler's Tavern",-0.1409335,51.5237046
"Square Tavern",-0.137853,51.5258665
"The Hawkhill Tavern",-2.9924685,56.457
"Tattersalls Tavern",-0.1625201,51.5011085
"The Railway Tavern",-2.3768813,52.7661682
"Woodhouse Tavern",0.0111067,51.5591254
"The Old Tavern Inn",-3.2358834,53.3026552
"Steam Passage Tavern",-0.104717,51.5350401
"Low Lights Tavern",-1.4343337,55.0106191
"The Oval Tavern",-0.087598,51.3782981
"St. Lawrence Tavern",1.4004435,51.3361272
"Southwood Tavern",1.4026334,51.3349756
"The Vale Tavern",1.4067042,51.3328939
"The Bridge Tavern",-1.7545403,53.7828925
"The Hesketh Tavern",-2.191942,53.37227
"Bulls Head Tavern",-2.0725438,53.5650913
"Springfield Park Tavern",-0.1227375,51.6055519
"The Wilmslow Tavern",-2.2161378,53.3364808
"St Aldate's Tavern",-1.2574142,51.7512544
"Swiss Tavern",-0.0524994,51.4713831
"South Eastern Tavern",1.4141695,51.3392569
"Tib Street Tavern",-2.2343597,53.4840047
"Soho Foundry Tavern",-1.9471259,52.4972298
"Prince of Wales Tavern",-1.4410996,55.0072255
"Circus Tavern",-2.240111,53.4776875
"Tavern on the Green",-0.2065462,52.1938755
"Rugby Tavern",-0.3376562,53.7453026
"The Orchard Tavern",-0.2419746,51.5017005
"Waters Green Tavern",-2.1239151,53.2592516
"The Brewery Tavern",0.4889078,51.9527539
"Crossfield Tavern",-1.4796376,53.4702127
"City Tavern (Closed)",-0.0928247,51.5142497
"The Witham Tavern",-0.0307313,52.9828119
"Castle Tavern",-3.1369326,55.9327861
"The Fox Tavern",-2.0276161,52.4871577
"Perry Hill Tavern",-2.0008276,52.4684425
"Kent House Tavern",-0.045372,51.4164144
"Old Market Tavern",-2.5820232,51.4561429
"Stapleton Road Tavern",-2.5764808,51.4591343
"The Armory Tavern",-2.572488,51.4620958
"Lebeq's Tavern",-2.5702258,51.4635542
"The Ladywell Tavern",-2.9713403,56.4646934
"Bybrook Tavern",0.8811011,51.157669
"The Welcome Tavern",-2.6841729,53.739482
"The Tavern",0.4927346,52.0556871
"The Bear Tavern",-1.9701193,52.4768608
"Market Tavern",-1.3867412,52.2531611
"The Bridge Tavern",-1.8186588,53.55781
"The Abbey Tavern",-8.4827247,51.8939025
"Crompton Road Tavern",-2.1352075,53.2584252
"Chester Road Tavern",-2.1328478,53.2605541
"The Gregory Tavern",-6.6674939,53.4000493
"The overdraft Tavern",0.0513372,51.5393684
"The Ship Tavern",-0.0226647,52.9765682
"Roundhill Tavern",-0.1334925,50.8361377
"The Penketh Tavern",-2.6540518,53.3870473
"Preston Park Tavern",-0.1410217,50.8417428
"Bedford Tavern",-0.1121827,51.5614137
"The Village Tavern",-1.3603549,54.8692592
"Cockbeck Tavern",-2.9052561,53.5434984
"Southwark Tavern",-0.0907987,51.5048678
"The Park Tavern",-1.9687353,52.5877378
"St Bride's Tavern",-0.1044064,51.513225
"The Sun Tavern",-0.1227141,51.5139769
"Brents Tavern",0.8916113,51.3202498
"The Whiteheath Tavern",-2.026657,52.489049
"The Braefoot Tavern",-3.2442019,56.1731013
"Tudor Tavern",-3.4863368,51.4081112
"Rose Tavern",0.4299197,52.0818291
"King Street Tavern",-1.0913123,50.792047
"The Market House Tavern",-1.0862035,50.8091518
"Castle Tavern",-4.2251738,57.4750354
"The Cat Tavern",-1.8036447,51.0704768
"Gipsy Hill Tavern",-0.0837841,51.4238868
"Cycle Tavern",-3.232145,56.2931393
"The Polwarth Tavern",-3.2182135,55.9381612
"Abbey Tavern",-6.0657,53.386909
"The Great Northern Railway Tavern",-0.1163035,51.5880772
"Dickens Tavern",-0.1744741,51.5157663
"Westdale Tavern",-1.0875722,52.9742238
"Thatched Tavern Inn",-3.5156464,50.5065814
"The Railway Tavern",-0.26651,51.4690974
"Mall Tavern",-0.1939649,51.5084838
"The Grove Tavern",-0.3063333,51.3965778
"Hillend Tavern",-3.3730442,56.0409027
"Huntsmans Tavern",0.8653284,51.8747628
"The New Regale Tavern",-1.3644416,54.9051547
"The Malt Shovel Tavern",-0.8970296,52.2330576
"Rivermill Tavern",-0.2838983,52.2146141
"Marisco Tavern",-4.6654106,51.1653576
"RMA Tavern",-1.0581582,50.7842829
"The Eastney Tavern",-1.0583506,50.7840222
"The Colliery Tavern",-1.3854881,54.9160649
"The Tavern",-3.198316,56.5638789
"Hawne Tavern",-2.062679,52.4550232
"Gildersome Taverners",-1.635098,53.7526287
"Riddins Tavern",-2.0662754,52.4732512
"Parnaby Tavern",-1.5231972,53.7706428
"Cock Tavern",0.3813273,52.6064108
"The Old Road Tavern",-2.1171293,51.4629731
"The Oakfield Tavern",-2.1518073,52.4742349
"Railway Tavern",-2.1047081,52.4958333
"The Greenhil Tavern",-1.3692204,53.070649
"The White Horse Tavern",-2.5102287,53.5546769
"Navigation Tavern",-1.6939542,53.6721451
"The Tavern at Tansley",-1.5177513,53.1320045
"Offa's Tavern",-3.4063686,53.3361531
"The Railway Tavern",0.1654596,51.5433262
"The Rosehill Tavern",-2.5162287,53.5406122
"Hyde Tavern",-1.3149599,51.0692637
"The Railway Tavern",0.7059734,51.8401372
"The Ball Haye Tavern",-2.0163348,53.1117542
"The Fairfield Tavern",-2.9959797,53.0410735
"Nelson Tavern",-2.1611865,53.4957684
"Crossways Tavern",-3.4265526,50.8113294
"Tavern on the Green",-0.155183,51.1274868
"The Gingerman Tavern",-7.1113417,52.2605863
"The Lock Tavern",-0.1474719,51.5427235
"The Turf Tavern",-2.0062715,52.6187799
"The Mount Tavern",-2.1465988,52.5654246
"Old Brewery Tavern",1.078182,51.2789415
"Pier Tavern",1.7376467,52.6082392
"The Tavern",-2.8769874,56.3370625
"Oyster Tavern",-9.7804174,52.2758341
"Brades Tavern",-2.0287747,52.5054104
"Museum Tavern",-0.1259098,51.5181698
"The Black Adder Brewery Tavern",0.7333595,52.0405682
"Freelands Tavern",0.0245727,51.4102359
"Ingress Tavern",0.2950539,51.449851
"Tollgate Tavern",0.1415103,51.5725211
"Goat Tavern",-0.1412206,51.5088186
"Monaghans Tavern",-0.1109739,51.5982203
"Eagle Tavern",-3.0222221,50.9138487
"Railway Tavern",-2.3938091,53.4482199
"Big Tree Tavern",-6.260942,53.3597953
"The Royal Tavern",-1.5049208,55.1245679
"Fox Tavern",-2.0627923,53.4876236
"The Keyworth Tavern",-1.0820005,52.8738666
"The Railway Tavern",0.4685097,51.7361695
"Ivy Tavern",-0.538444,53.2398744
"Berkshire Tavern",-1.3229432,51.4008618
"Franklin Tavern",-0.1264099,50.8347942
"The Canal Tavern",-2.2519263,51.3418305
"Railway Tavern, Elmswell",0.9093603,52.2372176
"Eastcliffe Tavern",1.3928801,51.388916
"Hall End Tavern",-1.9899677,52.5341442
"Market Tavern",-1.3026808,54.5567089
"The Magpie Tavern",0.5350684,51.3753369
"The Woodland Tavern",-2.7997963,51.6277991
"Eagle Tavern",-1.4867572,51.7837755
"Corleys Tavern",-0.0943722,51.5400637
"Shepherds Tavern",-0.1478458,51.5061442
"Colliery Arms Tavern",-3.3713362,51.6797118
"Park Tavern",-1.1769947,52.9884585
"The Market Tavern",-2.3624234,53.1442384
"The Rookery Tavern",-2.3983263,53.1392599
"The Hill Tavern",-2.0710852,52.5100643
"Farm Tavern",-0.1591458,50.8267339
"Slip Tavern",-2.5099112,51.9969233
"Forest Tavern",-1.2528529,53.1377663
"The Railway Tavern",-2.98433,55.9592885
"Snooty Tavern",-0.3465768,52.2720202
"Crown Tavern",-3.7816565,55.6749554
"Balgedie Toll Tavern",-3.3491631,56.2226611
"The Northern Tavern",-0.1342737,50.832135
"The Mitre Tavern",-0.135318,50.8319642
"The Rose Hill Tavern",-0.1359556,50.8325893
"The Branch Tavern",-0.1375288,50.8322012
