Latitude,Longitude
51.4935929,-0.1262861
51.5154842,-0.1049292
51.5125433,-0.1067767
51.5153316,-0.1117428
51.5163499,-0.1192746
51.5145791,-0.0969839
51.5167255,-0.1038901
51.5153501,-0.1045266
51.5150736,-0.0997325
51.4925356,-0.1391781
51.4923918,-0.1395955
51.5127574,-0.1211471
51.4937404,-0.1015132
51.5067697,-0.1128627
51.4994009,-0.1156476
51.5154278,-0.1083091
51.5157954,-0.1071645
51.516754,-0.110371
51.50623,-0.1110639
51.5033586,-0.0954883
51.4959773,-0.1440561
51.5148694,-0.1224717
51.4994244,-0.11398
51.4985822,-0.1390719
51.4843333,-0.1171649
51.4870423,-0.1156005
51.51542,-0.1313897
51.4886551,-0.1206258
51.4974199,-0.1304208
51.4978844,-0.1263636
51.4964344,-0.1287838
51.4947547,-0.1322335
51.4950039,-0.1321861
51.4950117,-0.131388
51.4902841,-0.1286368
51.4907501,-0.1305636
51.5093809,-0.1263009
51.512377,-0.1132265
51.5152711,-0.131279
51.5128529,-0.1089872
51.493745,-0.09964
51.4879879,-0.0869478
51.4881483,-0.0868534
51.5104917,-0.1291274
51.5102139,-0.1290844
51.50981,-0.130266
51.510852,-0.130441
51.5112449,-0.1293677
51.5071604,-0.1302097
51.5094628,-0.1311122
51.5087515,-0.1322644
51.511278,-0.1313631
51.5126891,-0.1305203
51.5141821,-0.130749
51.5161287,-0.130634
51.5165109,-0.1307587
51.5108812,-0.1341591
51.5108026,-0.1351182
51.510582,-0.135267
51.5120927,-0.1348396
51.5134836,-0.1349356
51.5112631,-0.1327871
51.5123533,-0.1295014
51.5167871,-0.1194731
51.5148468,-0.1334032
51.5149372,-0.1352506
51.5148569,-0.1374635
51.5142246,-0.1371322
51.5125409,-0.1316657
51.5122602,-0.0830944
51.5113374,-0.1134381
51.5112766,-0.1221949
51.499843,-0.1336783
51.5140281,-0.1091675
51.5137876,-0.1092189
51.5136388,-0.1090351
51.5006689,-0.1316634
51.491856,-0.1400109
51.5069255,-0.0846413
51.5113443,-0.130077
51.5137751,-0.1167573
51.4851296,-0.1244447
51.4935531,-0.1418267
51.4913945,-0.1390677
51.4871719,-0.1445137
51.4992614,-0.1330944
51.4980016,-0.1351602
51.4977641,-0.1345886
51.5004507,-0.1339324
51.499457,-0.1356681
51.4991619,-0.1307097
51.4980406,-0.1349521
51.4996528,-0.1336513
51.4996419,-0.1338004
51.4989245,-0.1355137
51.4980131,-0.1350544
51.498098,-0.1353054
51.4984361,-0.1119033
51.4967679,-0.1090637
51.4968718,-0.1119249
51.4982763,-0.1340161
51.4991403,-0.1366734
51.4993875,-0.1360286
51.4992367,-0.1383053
51.4992228,-0.1379342
51.4983953,-0.1349891
51.4978634,-0.1368805
51.4987718,-0.1374728
51.4989,-0.1378161
51.4985775,-0.1395286
51.498713,-0.1421248
51.498723,-0.1412557
51.4985776,-0.140349
51.4993595,-0.1397215
51.4992634,-0.1393525
51.5132762,-0.1366061
51.5074396,-0.0928945
51.5141224,-0.1392291
51.506562,-0.127064
51.5063753,-0.1269716
51.5067276,-0.1269618
51.5098111,-0.1320333
51.508504,-0.126695
51.4994142,-0.1331962
51.5004164,-0.1298531
51.4846874,-0.0829548
51.4926062,-0.1406398
51.5064599,-0.0892462
51.5059422,-0.086913
51.5061076,-0.0827957
51.50836,-0.107817
51.505166,-0.1165376
51.5055251,-0.1176917
51.513044,-0.1044233
51.5123735,-0.1039438
51.4951731,-0.1255441
51.496801,-0.125651
51.497583,-0.125943
51.4993223,-0.1294761
51.4940392,-0.1194905
51.4931529,-0.120497
51.489619,-0.1121198
51.4847962,-0.1181976
51.5074819,-0.1098434
51.5112844,-0.1040799
51.5112056,-0.1041018
51.512278,-0.104076
51.5170631,-0.0812184
51.4991243,-0.1126995
51.5006728,-0.1132631
51.5146474,-0.0981098
51.514642,-0.0982288
51.5167506,-0.1039851
51.5136634,-0.083933
51.5146862,-0.1168599
51.5170093,-0.0873308
51.5171696,-0.0881462
51.5171934,-0.0897891
51.5163441,-0.0970933
51.5158687,-0.0972049
51.5156765,-0.0992991
51.5157726,-0.1000029
51.5146289,-0.117193
51.5132863,-0.1154047
51.5134855,-0.1165091
51.5045934,-0.1230377
51.509591,-0.126041
51.5116939,-0.1257001
51.5158593,-0.1024019
51.514083,-0.1021186
51.5141541,-0.102277
51.5110143,-0.0808364
51.5110137,-0.0847662
51.4883912,-0.1375146
51.4909201,-0.1390927
51.512579,-0.1458849
51.5127139,-0.1414682
51.5123499,-0.142301
51.5108817,-0.1454164
51.5062917,-0.1170999
51.4887868,-0.1371964
51.513035,-0.0913656
51.4890962,-0.110865
51.5168055,-0.12644
51.5171827,-0.1255515
51.5144021,-0.122107
51.505071,-0.0824676
51.5050533,-0.0832307
51.4979863,-0.090494
51.4946884,-0.091716
51.4967192,-0.0966831
51.4987226,-0.0976003
51.4996349,-0.0949877
51.495739,-0.1038184
51.4919337,-0.1024528
51.4908164,-0.1036794
51.4907793,-0.1113486
51.4903358,-0.1038794
51.4894933,-0.1050094
51.4890769,-0.1039947
51.4894102,-0.105091
51.4897221,-0.1072826
51.4901593,-0.1069419
51.4899017,-0.1081581
51.489539,-0.1090887
51.4879326,-0.1064716
51.4881546,-0.1090502
51.4861091,-0.1115058
51.4872063,-0.1115031
51.487265,-0.1111211
51.4875012,-0.1114612
51.4886455,-0.1107714
51.5014333,-0.1106868
51.4988036,-0.1119994
51.4980517,-0.1119807
51.4980947,-0.1123248
51.4978632,-0.112232
51.498131,-0.10974
51.4981794,-0.1102946
51.4979007,-0.1073105
51.498262,-0.1091399
51.489854,-0.146213
51.5058844,-0.0929976
51.488184,-0.10746
51.499607,-0.11497
51.514191,-0.137179
51.4839218,-0.1276517
51.4977,-0.1265
51.5042,-0.0961
