PubName,Longitude,Latitude
"The Queens Head",-0.4265654,53.8413465
"The Queens Head",-2.0015827,52.5309946
"The Queens",-1.3351384,53.4681732
"Queens Hotel",-1.1968433,53.4234878
"Queens Head",-1.3714241,51.7813559
"Queens",-3.0353348,53.9180508
"Queen's Head",-0.7193611,51.894984
"Queen Phillipa",0.7474328,51.4163394
"Queens Hotel",-0.9425836,51.0972931
"The British Queen",-0.0703441,51.6038254
"Queensberry Pub",-3.6094404,55.0682084
"The Queen Anne",-1.7362846,53.297934
"The Queens Hotel",-4.1100858,52.8613637
"Queen Victoria",-0.7646535,51.2483577
"Queen's Head",0.2092854,52.6406014
"The Queen's Head",-3.053101,55.0042735
"The Queens",-2.960488,53.736055
"The Queens Head",-1.2349901,50.85021
"The Queen's Head",0.1486389,51.7820491
"The Queen of England",-0.5914694,51.5066818
"The Queens Head",-2.0583601,52.3369654
"The Queens Head",-2.2529654,51.4152935
"Queen's Arms",-1.985317,52.9887692
"Storm Queen",-4.3034222,55.8706366
"The Queens Head",-0.9200865,51.0150281
"Queen A",-2.9971918,56.4630267
"King and Queen",0.4388255,51.2878837
"The Queens Head",0.376624,51.26368
"Queens Head",-0.0317668,52.3305482
"The Queens",-2.3674498,53.5715946
"Queen Lizzie (closed)",-1.0655132,53.7847845
"Queens",-1.8874127,53.2984442
"Queens Arms",-5.1744426,50.1186841
"Queens Head",-2.0058452,52.5611088
"Queens",-2.1531165,53.4141459
"The Queens Head",-1.9997612,52.6140665
"Queen Victoria",0.5017787,52.8803252
"Queens Head",-1.4605836,52.9688932
"Old Victoria British Queen",-2.4303439,53.5903245
"The Queens Head",-0.1270772,51.2390944
"The Queen's Head",-1.7236725,51.9308256
"The Queen Victoria",0.6180395,51.7326962
"Queen Charlotte Inn",-1.4575286,51.2105388
"Queen's Head",-2.9985964,54.3748116
"The Queens Head",0.7354001,50.9534199
"Queens Arms",-6.6731485,55.1317752
"The Queens Arms",-1.634208,53.8458502
"Queens Head",-4.3449759,53.4094762
"The Three Queens",-2.978425,51.346269
"The Queens Head Inn",1.2897207,52.1978912
"The Queens",-2.4692805,53.5141084
"Queen's Head",-0.2867497,52.1291471
"The Queen Ferry Hotel",-3.0148052,53.2116204
"Queens Arms",-0.5309102,51.4864937
"The Queens Head",-1.3450706,53.0075064
"Queens Hotel",-5.4811075,50.2122429
"The Queen's Head",-1.8907353,55.4242618
"Queens Head Hotel",-2.003503,55.7676744
"The Queen's Head",-2.0106402,55.7630395
"The Queens Head",-1.9648575,52.0457427
"Queens Arms",-2.1435151,54.1625091
"The Queens Arms",-2.5711576,51.1256956
"The Queens Head",-2.8845072,53.5669152
"The Queen Inn",-2.888592,53.565263
"The Queen's Head",-2.1547044,52.4581897
"Queens Head",-0.4817234,51.3398249
"The Queens Head",-0.463562,51.3710957
"Queen Victoria",-0.2775605,51.6587104
"The Queens Head",-2.5539295,53.6024237
"Queens Arms",-1.7840101,53.2363172
"Queen's Head",-0.3950652,51.0313827
"Queens Head",-1.3645395,53.0670749
"The Queen's Head",1.5589979,52.5302582
"The Queensway",-3.0125105,53.7637249
