PubName,Longitude,Latitude
"The Old Star",-2.5299128,53.1808051
"Ye Olde Red Lion",-0.4540061,51.727368
"The Old Post Office",-2.7522759,52.7066221
"The Old Compass Inn",-3.9441661,51.6369803
"The Olde Bull Inn",0.5305507,52.335134
"The Old Fox",-0.3722645,51.6899341
"Ye Old Bell",-0.8097652,51.5462376
"The Old Red Lion",-0.1166542,51.5181078
"The Old English Gentleman",0.2404724,52.0224883
"Ye Olde Oak Inn",-2.8608598,52.3162939
"The Old English Gentleman",-0.0372413,51.7073046
"The Old Lion",-1.2980121,52.4094911
"Old Red Lion",-0.1050094,51.4894933
"Old Ale Mug House",-0.0882701,51.5064776
"Old London Apprentice",-1.3134194,51.399635
"Old Salt Quay",-0.0473046,51.5046243
"Ye Olde Black Bull",0.000792600000001,51.5402172
"The Old Mill",-1.54057,53.6652996
"The Old Malt Shovel",-1.5453159,53.6800092
"The Old Bank",-0.1913469,51.3599155
"The Old Crown",-0.0245502,52.04807
"The Old Swan Uppers",-0.7177058,51.5586488
"Ye Olde Three Crowns",-2.3912479,53.5461016
"The Old Halfway House",-1.5682027,53.6642555
"The Olde Lodge",-8.8622492,52.7149942
"The Old House at Home",-1.4955078,50.9898929
"Old Hunters Lodge",-0.5294682,51.8522826
"Old King Johns Head",-0.0745117,51.5346172
"The Old Post Office",-2.5287017,51.4807763
"Old Ship Inn",-1.6524419,55.5821854
"The Old Pump",-1.4844697,53.2673155
"Old Coach House",-1.1684883,52.3084225
"Old Station House Inn",-3.9373756,51.1710191
"The Old Bell Gate",-0.4668356,51.7605223
"The Old Mill",-6.354174,53.2751247
"The Old Orchard",-6.2993378,53.2946757
"Old Bell",-0.0168764,51.2523496
"The Old Ram",1.2022291,52.4232631
"The Old Ebor",-1.0854214,53.9527197
"The Old Ship",-1.4140049,54.9785905
"The Old Anchor Inn",-2.8732591,56.466151
"The Old Oak",-0.6951643,51.6663946
"Old Ferry Inn",-2.6481636,51.613284
"The Old Mill",-0.5516727,51.7567625
"Ye Olde Sun",-0.2657241,52.2292216
"Old Bell Inn",-2.0194748,53.5643347
"Ye Olde Manor",-2.4545433,53.0833796
"The Old Royal Inn",-2.8167033,56.482799
"The Old Kings Highway",-2.0994626,57.1458653
"The Old White Hart",-1.5677832,53.772267
"The Old Cannon Brewery",0.7146914,52.2496134
"Ye Old Talbot",-1.8646264,52.8981673
"Old Star",-1.8641563,52.8976422
"The Old Swan",-1.8634294,52.897868
"The Old Fish Market",-2.5929545,51.4537403
"The Old Mill",-2.321145,53.0913213
"The Old White Lion",-0.164465,51.5865831
"Ye Olde Crosse Inn",-1.764587,54.9768464
"Ye Olde Clocktower",-0.0978953,51.3845329
"Old Monkey",-2.2402303,53.4776103
"Old Crown",-2.388147,51.3943601
"The Old Firehouse",-3.5279836,50.7267827
"The Old Bank Bar",-2.9712714,56.4612835
"The Old Horseshoe Inn",-2.9702651,56.4621163
"The Old Stillage",-2.5582212,51.4586475
"The Old Unicorn",-1.6274821,53.8109134
"Ye Olde Black Horse",0.0983882,51.4371315
"The Old Eagle",-0.1394489,51.5427641
"Old Greyhound",-0.8974466,52.95232
"The Old Bramshall Inn",-1.9078757,52.8966472
"The Old Tavern Inn",-3.2358834,53.3026552
"Old Red Lion",-2.357475,53.2018223
"The Old Harbour",-6.2885758,53.3424956
"Ye Olde Hundred",-1.448508,55.0105771
"The Old Inn",-6.3522338,57.3016066
"The Old Stand",-7.3467626,53.5245973
"Ye Olde Number 3",-2.4183316,53.3749243
"Old Crown",-2.3024108,51.685852
"Old Red Lion",-1.7639004,53.7834892
"Old Rose and Crown",-2.2686327,52.3362679
"The Old Inn",-4.002059,51.6724551
"Old Poet's Corner",-1.4802221,53.1629036
"The Old Windmill",-1.9311677,52.4867523
"Old Red Lion",-1.9709128,53.0465272
"The Old Tom",-1.2572208,51.7508746
"The Old Smithy",-1.3406634,52.3833397
"Old Bulls Head",-2.3358773,53.4834995
"Old Oak",-2.6069709,53.8228207
"The Old Cat",-2.1618507,52.4806649
"Old House At Home",-1.7756868,53.8328417
"The Old Comrades Club",-1.9793789,52.5004164
"The Old Bell",-2.7355397,52.7056958
"The Old Swanne Inn",-1.9463465,52.0943676
"The Old Queens Head",-2.8845277,53.1916011
"Old Millstone",-2.1235558,53.2597694
"Ye Olde Wine House",-3.693847,51.531406
"Old Cart And Horses",-1.4865444,53.4738293
"Old Cross",-2.0099542,52.4875609
"Old Fox",-1.8969633,52.4745187
"Old Nick",-0.116279,51.5190643
"Old Timers",-3.5287406,50.7254912
"Old Lodge",-2.2128715,51.7061059
"Old Market Tavern",-2.5820232,51.4561429
"Old Swan Inn",-3.4861465,51.4082498
"Old White Hart",-3.4868761,51.408207
"The Old Wine Shades",-0.0879734,51.5105478
"Ye Olde Charles",1.4091436,51.3857173
"Ye Olde Cherry Tree",-0.1234649,51.6248271
"Old Mill Pub",-8.7162248,52.519896
"The Old Dispensary",-0.0935548,51.4743058
"The Old Grapes",-2.2502502,53.4786259
"The Old Kings Head",-2.1143371,53.2434136
"The Old Ship Inn",-2.1271197,53.2652146
"The Old Bush Revived",-2.0510959,52.4762634
"Ye Olde Red Lion",-0.7668862,53.8377446
"Old Harkers Arms",-2.8811344,53.1933658
"The Olde Bull",0.7221344,52.0357527
"The Old Cross Inn",-3.1312485,51.5092878
"The Old Angel",-1.1434374,52.9533406
"Olde Three Cocks",-0.6086575,52.458644
"The Old Library Wine Bar",-1.838057,53.8482641
"The Old Silent Inn",-1.9974706,53.8301903
"Old Bar",-8.4928689,51.8927819
"Ye Olde Smugglers Inne",0.1563877,50.808141
"Old Custom House",-4.93749,50.5410254
"Old Dog and Partridge",-1.1463291,52.9550233
"The Old Success Inn",-5.6993056,50.0777989
