RestaurantName,Longitude,Latitude
"Pizza Hut",-0.5726994,51.2369867
"Pizza Hut",-0.3205119,52.5313963
"Pizza Express",-1.5084358,52.4075677
"Pizza Hut",-1.5431095,53.9935948
"Pizza Express",-0.1648988,51.5505733
"Valentino's Pizza",-6.001943,54.752859
"PizzaExpress",-1.1427002,52.9536244
"PizzaExpress",-1.1492926,52.9545278
"Peppers Pasta and Pizza",-5.4805899,50.2135047
"Woolacombe Bay Pizza",-4.204871,51.1715183
"Pizza Express",-2.6045812,51.4555324
"Pizza Express",-0.8939951,52.2368793
"Pizza Provençale",-2.6187994,51.4545542
"Pizza Express",-2.7481363,54.3283235
"Pizza Express",-2.6176756,51.4538401
"The Stolen pizza",-8.5203614,51.7024263
"Pizza Hut",-2.9866614,53.4039415
"Pizza Express",-0.080844,51.652385
"Pizza Express",-3.1875237,55.9505873
"Pizza Express",-3.1777175,55.9507967
"Pizza Hut",-1.6300476,52.8022289
"Pizza Express",-3.5234293,50.4611814
"Pizza Hut",-3.5257398,50.4624725
"Pizza Hut",-2.5980848,51.4535487
"Blueprint Pizza",-6.3428285,54.1746695
"Pizza Hut",0.5321072,51.4012004
"Apache Pizza",-6.8005336,53.177548
"Planet Pizza",-2.5911735,51.4748982
"Pizza Express",0.8988682,51.8903748
"Jojo's Pizza & Kebab",-1.9207836,52.4835935
"Pizza Express",-3.1644552,51.4632744
"Pizza Hut",-3.1788394,51.4817508
"Pizza Express",-0.738725,50.987355
"Pizza Hut",-1.3890251,53.5072685
"Pizza Express",-0.7162359,51.5231385
"Pizza Express",0.7146021,52.2447708
"Café Pizza",-1.1346122,52.9376989
"Pizza Express",-0.8112151,53.0790172
"Pizza Express",-2.1090773,57.1438377
"Pizza Express",-0.1500158,51.4437744
"Pizza Express",-0.1654856,51.4641038
"Pizza Metro Pizza",-0.1661901,51.4609123
"Pizza Express",-0.1405791,50.8211312
"Pizza Express",-0.3057824,51.5123115
"Pizza Metro",-0.1512363,50.8234292
"Pizza Express",-0.1714896,50.8279647
"Pizza Express",-1.3077331,51.0609898
"Pizza Express",-1.1323615,52.6315766
"Pizza Express",-0.1458451,51.3584535
"Otto Pizza",-0.1950872,51.5154993
"Pizza Express",-2.5948159,51.4542824
"Pizza Hut",-0.2082629,51.8999224
"Pizza Hut",-1.4668823,54.9474204
"Luigis Restaurant & Pizzaria",-1.8583645,53.7077235
"Pizza Express",-3.1805238,51.4808659
"Pizza Hut",0.1851931,51.5683359
"Sorrento's Pizzaria",-2.7041265,53.5402779
"Pizza Express",-0.3285229,51.2336755
"Pizza Express",-0.1254513,51.4929286
"Pizza Express",-1.1075083,50.7954089
"Pizza Express",-1.5859397,52.2821102
"Pizza Express",-0.7797513,50.8349743
"Pizza Express",0.0224737,51.5951181
"Pizza Express",0.00116339999999,51.5428598
"Pizza & Pasta",-0.1316345,50.8204912
"Pizza Hut",-3.7769315,56.0023035
"Pizza Express",-0.6070751,51.677076
"Pizza Hut",-0.9322821,52.2377053
"Ask PIzza",-1.3157531,51.0628435
"Pizza Express",-3.1043382,51.0181677
"ASK Pizza",-0.1725355,51.6039994
"Pizza Hut",-0.3066597,51.5127476
"Pizza Rustica",-0.1417225,51.5439136
"Pizza 500",-0.1417601,50.8353173
"Pizza Hut",-1.6149178,54.971302
"Pizza Express",-1.7773148,51.5524202
"Pizza Hut",-2.0975326,57.1434363
"PizzaHut",-0.3337665,51.5793535
"Pizza House Restaurant",-1.0716018,50.8334623
"Pizza Hut",-2.160259,53.4069715
"Pizza Pizzeria",-8.5602945,51.9330546
"Broadway Pizza Parlor",-6.243812,53.3495667
"Pizza Hut",-0.0455118,51.4956267
"Pizza Hut",-4.2566711,55.8581867
"Pizza da Mario",-1.8930319,50.7217003
"Pizza Express",-4.3098871,51.8594667
"Apache Pizza",-6.2173551,53.3764889
"Pizza Hut",-3.0544468,53.817178
"Pizza Express",-2.2470124,53.4809081
"Pizza Hut",-1.4073728,50.9034471
"Pizza Express",1.0794594,51.2803534
"Pizza Express",-1.577914,53.8218109
"Pizza Express",-0.5963279,51.5097564
"Pizza Express",-0.2009242,51.6580928
"Pizza Express",-2.144764,52.4558722
"Pizza Express",-0.3037551,51.3931807
"Pizza Express",-0.127763,51.4371881
"Pizza Express",-0.1942532,51.4802969
"Pizza Hut",-6.3908318,53.3922999
"Pizza Express",-5.0746364,50.416442
"Pizza Express",-0.9780408,51.1485509
"Pizza Express",-3.0986435,53.3281172
"Pizza Express",-0.3078223,51.4068631
"Pizza Express",-0.1914354,51.360016
"Pizza Hut",-1.4940759,55.0129058
"Pizza Express",-4.2230943,57.4792308
"Pizza Hut",-4.1667225,55.7836565
"Pizza Express",-1.0865409,53.9603751
"Pizza Hut",-3.2367383,54.1144597
"pizza 'n' pasta",-3.8350135,51.2302769
"Pizza Express",0.0050852,51.5029014
"Pizza Hut",-4.0207638,55.8565923
"Pizza Express",-0.5644651,51.3173783
"Dominos Pizza",-3.1839329,55.9444992
"PIzza Express",-1.7326467,51.4192821
"Pizza Romana",-2.1094072,49.1854495
"Pizza Hut",-2.1145714,49.1837719
"Pizza Express",-1.5151077,52.4104563
"Pizza Express",-2.1045951,49.1856932
"Pizza Express",-0.5539074,50.8540585
"Pizza Express",-1.0844584,51.2651714
"Pizza Express",-0.4553801,51.3735499
"Pizza Apache",-9.7878142,52.1071875
"Pizza Hut",-4.7932223,50.3337986
"Pizza Express",-2.9904799,53.3984036
"Pizza Hut",-3.012526,53.802356
"Pizza Hut",-8.6418001,52.1376686
"Pizza on the Green",-0.3019969,51.5159706
"Pizza Express",-0.355533,51.8145768
"Pizza Hut",0.5797915,51.8675015
"Pizza Express",-5.9556332,54.5754413
"Pizza Express",-1.7080886,52.191527
"Pizza Express",-2.2337382,53.3254252
"Pizza Express",-2.243451,53.484982
"Pizza Hut",-1.3415434,52.0729163
"Pizza Hut",-0.1578167,51.522303
"Pizza Express",-1.2821116,53.002585
"Pizza Express",-1.477785,52.9242664
"Pizza Express",-2.9627924,53.7368182
"Pizza Express",-3.2097266,55.9510015
"Pizza Express",-2.1253377,53.2613141
"Pizza Crolla",-4.2590033,55.8605422
"Pizza Hut",-3.217998,55.941019
"Pizza Express",-0.2859797,51.4776646
"Pizza Hut",-3.1879556,55.9504193
"Pizza Express",-3.1789769,55.9804368
"Pizza Hut",-1.0912515,50.799393
"Pizza Express",-1.7761161,50.7336253
"Pizza Express",-1.8712885,50.7219356
"Pizza Express",-4.2518919,55.8605701
"Pizza Hut",-2.7413596,53.4515862
"Pizza Hut",-3.1972724,55.9529742
"Pizza Express",0.4057565,52.2438513
"Pizza Hut",0.711842,52.2448303
"Pizza Hut",-3.1037178,55.934318
"Pizza Hut",-0.5180547,53.2505856
"Pizza Express",-3.2084003,55.9265283
"Pizza Express",0.268759,51.4396553
"Pizza Express",-0.0575429,51.504665
"Pizza Express",-2.7020195,53.7572556
"Pizza Express",-2.2764025,53.5241137
"Pizza Hut",-2.2366006,53.4981485
"Pizza Express",-2.9874847,53.4041782
