Amenity,AmenityName,Latitude,Longitude
restaurant,"Chez Max",53.3437987,-6.2662519
doctors,"Jervis Medical Centre",53.3499693,-6.2672833
pub,"The Richmond",53.3503544,-6.2746953
pub,"The Grange Inn",53.3522029,-6.2797149
restaurant,"BamBoo",53.3441831,-6.2674425
fast_food,"Toki Doki",53.3435249,-6.2699204
bench,"",53.3426336,-6.2673117
post_office,"North King Street",53.3509862,-6.2703532
pub,"The Dean Swift",53.3412468,-6.2746108
clinic,"Family Health Clinic",53.3495909,-6.2794753
clinic,"Charter Medical Group",53.3496708,-6.2783112
car_mechanic,"Sweeney's",53.3441007,-6.2808052
gym,"Bridgefoot Street Gym",53.3457083,-6.2804297
cafe,"Oh Rourkes!",53.3458492,-6.280376
pub,"The Clock",53.3429504,-6.2793973
fast_food,"Sorrento",53.3502109,-6.2828906
pharmacy,"Patrick St. Pharmacy",53.3413662,-6.2725067
bicycle_rental,"Smithfield North",53.3496187,-6.2778311
restaurant,"The Italian Corner",53.3456225,-6.2649981
ticket_office,"Ticketmaster",53.348151,-6.2662982
cafe,"Mochaland Coffee",53.3463068,-6.2656434
fast_food,"P. Borza",53.3431906,-6.2761142
cafe,"Bite of Life",53.3407545,-6.2721474
restaurant,"Hilan",53.3487762,-6.2688011
restaurant,"Cafe Topolis",53.3443032,-6.2675068
cafe,"Abreu's Cafe",53.3451276,-6.2688384
cafe,"Anns Hot Bread Shop",53.3490726,-6.2655027
pub,"Ryan's Bar",53.343275,-6.273416
pub,"Big's Bar",53.3470597,-6.2838128
pub,"Noel Leonards (Closed)",53.3464035,-6.2843718
cafe,"Bel Cibo",53.3486545,-6.279088
place_of_worship,"All Nations",53.3475026,-6.2772119
restaurant,"Yamamori Sushi",53.3465023,-6.2640524
pub,"The Hill Top",53.3432707,-6.281063
pub,"The Liberty Belle",53.341565,-6.274883
restaurant,"Enoteca delle Langhe",53.3466089,-6.2652915
pub,"Tom Kennedy's",53.3427182,-6.2772918
fast_food,"Morelli's",53.3433652,-6.2814653
fast_food,"Subway",53.3433988,-6.2817443
fast_food,"Vincenzo's",53.3430161,-6.2797755
pub,"The Thomas House",53.343072,-6.276838
place_of_worship,"St Catherine's Church",53.3420921,-6.278598
pub,"The Lark Inn",53.341684,-6.278673
pub,"The Liberty Bar",53.3414826,-6.2785349
fast_food,"Fusco's",53.3409711,-6.2785711
cafe,"UBode",53.344588,-6.269337
restaurant,"Copper Alley Bistro",53.3437264,-6.2699958
pharmacy,"",53.346893,-6.281721
cinema,"Irish Film Institute",53.344569,-6.2650418
pub,"Bad Bob's",53.345052,-6.265941
arts_centre,"Exchange Space",53.344604,-6.268238
restaurant,"Sinners",53.3443158,-6.2671822
recycling,"",53.3445973,-6.2814362
restaurant,"Cactus Jacks",53.347023,-6.2652219
school,"High Street Kenpo Karate Academy",53.3440084,-6.2733847
pub,"The Irish House Pub",53.3424366,-6.2753626
restaurant,"Lemon Jelly",53.3470921,-6.2654609
pub,"Pifko Bar",53.3460172,-6.2802844
cafe,"Voodoo",53.3466273,-6.2797112
pub,"Farrington's",53.3453628,-6.2648297
pub,"Fitzsimon's",53.3454409,-6.2651087
cafe,"Queen of Tarts",53.3443162,-6.2689996
parking,"Jervis",53.3480262,-6.2661205
fast_food,"Vincenzo's",53.342683,-6.2781287
fast_food,"The Dragon inn",53.3431365,-6.2765175
pharmacy,"Foley's",53.3426862,-6.2780321
