Name	Category	Country
Vlkolínec	Cultural	Slovakia
Bardejov Town Conservation Reserve	Cultural	Slovakia
Wooden Churches of the Slovak part of the Carpathian Mountain Area	Cultural	Slovakia
Škocjan Caves	Natural	Slovenia
East Rennell	Natural	Solomon Islands
Fossil Hominid Sites of South Africa	Cultural	South Africa
Robben Island	Cultural	South Africa
Mapungubwe Cultural Landscape	Cultural	South Africa
Vredefort Dome	Natural	South Africa
Richtersveld Cultural and Botanical Landscape	Cultural	South Africa
Cave of Altamira and Paleolithic Cave Art of Northern Spain	Cultural	Spain
Old Town of Segovia and its Aqueduct	Cultural	Spain
Monuments of Oviedo and the Kingdom of the Asturias	Cultural	Spain
Historic Centre of Cordoba	Cultural	Spain
Alhambra, Generalife and Albayzín, Granada	Cultural	Spain
Burgos Cathedral	Cultural	Spain
Monastery and Site of the Escurial, Madrid	Cultural	Spain
Works of Antoni Gaudí 	Cultural	Spain
Santiago de Compostela (Old Town)	Cultural	Spain
Old Town of Ávila with its Extra-Muros Churches	Cultural	Spain
Mudejar Architecture of Aragon	Cultural	Spain
Historic City of Toledo	Cultural	Spain
Garajonay National Park	Natural	Spain
Old City of Salamanca	Cultural	Spain
Cathedral, Alcázar and Archivo de Indias in Seville	Cultural	Spain
Old Town of Cáceres	Cultural	Spain
Ibiza, Biodiversity and Culture	Mixed	Spain
Poblet Monastery	Cultural	Spain
Renaissance Monumental Ensembles of Úbeda and Baeza	Cultural	Spain
Archaeological Ensemble of Mérida	Cultural	Spain
Royal Monastery of Santa María de Guadalupe	Cultural	Spain
Route of Santiago de Compostela	Cultural	Spain
Historic Walled Town of Cuenca	Cultural	Spain
La Lonja de la Seda de Valencia	Cultural	Spain
Las Médulas	Cultural	Spain
Palau de la Música Catalana and Hospital de Sant Pau, Barcelona	Cultural	Spain
San Millán Yuso and Suso Monasteries	Cultural	Spain
Rock Art of the Mediterranean Basin on the Iberian Peninsula	Cultural	Spain
Archaeological Ensemble of Tárraco	Cultural	Spain
University and Historic Precinct of Alcalá de Henares	Cultural	Spain
San Cristóbal de La Laguna	Cultural	Spain
Palmeral of Elche	Cultural	Spain
Roman Walls of Lugo	Cultural	Spain
Catalan Romanesque Churches of the Vall de Boí	Cultural	Spain
Archaeological Site of Atapuerca	Cultural	Spain
Aranjuez Cultural Landscape	Cultural	Spain
Vizcaya Bridge	Cultural	Spain
Teide National Park	Natural	Spain
Tower of Hercules	Cultural	Spain
Cultural Landscape of the Serra de Tramuntana	Cultural	Spain
Sacred City of Anuradhapura	Cultural	Sri Lanka
Ancient City of Polonnaruwa	Cultural	Sri Lanka
Central Highlands of Sri Lanka	Natural	Sri Lanka
Gebel Barkal and the Sites of the Napatan Region	Cultural	Sudan
Archaeological Sites of the Island of Meroe	Cultural	Sudan
Historic Inner City of Paramaribo	Cultural	Suriname
Central Suriname Nature Reserve	Natural	Suriname
Birka and Hovgården	Cultural	Sweden
Engelsberg Ironworks	Cultural	Sweden
Rock Carvings in Tanum	Cultural	Sweden
Skogskyrkogården	Cultural	Sweden
Royal Domain of Drottningholm	Cultural	Sweden
Hanseatic Town of Visby	Cultural	Sweden
Church Village of Gammelstad, Luleå	Cultural	Sweden
Laponian Area	Mixed	Sweden
Naval Port of Karlskrona	Cultural	Sweden
Agricultural Landscape of Southern Öland	Cultural	Sweden
Mining Area of the Great Copper Mountain in Falun	Cultural	Sweden
Varberg Radio Station	Cultural	Sweden
Decorated Farmhouses of Hälsingland	Cultural	Sweden
Old City of Berne	Cultural	Switzerland
Abbey of St Gall	Cultural	Switzerland
Benedictine Convent of St John at Müstair	Cultural	Switzerland
Three Castles, Defensive Wall and Ramparts of the Market-Town of Bellinzona	Cultural	Switzerland
Swiss Alps Jungfrau-Aletsch	Natural	Switzerland
Swiss Tectonic Arena Sardona	Natural	Switzerland
Lavaux, Vineyard Terraces	Cultural	Switzerland
La Chaux-de-Fonds / Le Locle, Watchmaking Town Planning	Cultural	Switzerland
Ancient City of Damascus	Cultural	Syrian Arab Republic
Ancient City of Aleppo	Cultural	Syrian Arab Republic
Ancient City of Bosra	Cultural	Syrian Arab Republic
Site of Palmyra	Cultural	Syrian Arab Republic
Crac des Chevaliers and Qal’at Salah El-Din	Cultural	Syrian Arab Republic
Ancient Villages of Northern Syria	Cultural	Syrian Arab Republic
Proto-urban Site of Sarazm	Cultural	Tajikistan
Tajik National Park (Mountains of the Pamirs)	Natural	Tajikistan
Ngorongoro Conservation Area	Mixed	Tanzania, United Republic of 
Ruins of Kilwa Kisiwani and Ruins of Songo Mnara	Cultural	Tanzania, United Republic of 
Serengeti National Park	Natural	Tanzania, United Republic of 
Stone Town of Zanzibar	Cultural	Tanzania, United Republic of 
Selous Game Reserve	Natural	Tanzania, United Republic of 
Kilimanjaro National Park	Natural	Tanzania, United Republic of 
Kondoa Rock-Art Sites	Cultural	Tanzania, United Republic of 
Historic Town of Sukhothai and Associated Historic Towns	Cultural	Thailand
Ban Chiang Archaeological Site	Cultural	Thailand
Historic City of Ayutthaya	Cultural	Thailand
Dong Phayayen-Khao Yai Forest Complex	Natural	Thailand
Thungyai-Huai Kha Khaeng Wildlife Sanctuaries	Natural	Thailand
Natural and Cultural Heritage of the Ohrid region	Mixed	the Former Yugoslav Republic of Macedonia
Koutammakou, the Land of the Batammariba	Cultural	Togo
Medina of Tunis	Cultural	Tunisia
Archaeological Site of Carthage	Cultural	Tunisia
Amphitheatre of El Jem	Cultural	Tunisia
Punic Town of Kerkuane and its Necropolis	Cultural	Tunisia
Medina of Sousse	Cultural	Tunisia
Kairouan	Cultural	Tunisia
Dougga / Thugga	Cultural	Tunisia
Historic Areas of Istanbul	Cultural	Turkey
Göreme National Park and the Rock Sites of Cappadocia	Mixed	Turkey
Great Mosque and Hospital of Divriği	Cultural	Turkey
Hattusha: the Hittite Capital	Cultural	Turkey
Nemrut Dağ	Cultural	Turkey
Xanthos-Letoon	Cultural	Turkey
Hierapolis-Pamukkale	Mixed	Turkey
City of Safranbolu	Cultural	Turkey
Archaeological Site of Troy	Cultural	Turkey
Selimiye Mosque and its Social Complex	Cultural	Turkey
Neolithic Site of Çatalhöyük	Cultural	Turkey
State Historical and Cultural Park “Ancient Merv”	Cultural	Turkmenistan
Kunya-Urgench	Cultural	Turkmenistan
Parthian Fortresses of Nisa	Cultural	Turkmenistan
Bwindi Impenetrable National Park	Natural	Uganda
Rwenzori Mountains National Park	Natural	Uganda
Tombs of Buganda Kings at Kasubi	Cultural	Uganda
Kiev: Saint-Sophia Cathedral and Related Monastic Buildings, Kiev-Pechersk Lavra	Cultural	Ukraine
L'viv – the Ensemble of the Historic Centre	Cultural	Ukraine
Residence of Bukovinian and Dalmatian Metropolitans	Cultural	Ukraine
Ancient City of Tauric Chersonese and its Chora	Cultural	Ukraine
Cultural Sites of Al Ain (Hafit, Hili, Bidaa Bint Saud and Oases Areas)	Cultural	United Arab Emirates
Giant's Causeway and Causeway Coast	Natural	United Kingdom of Great Britain and Northern Ireland
Durham Castle and Cathedral	Cultural	United Kingdom of Great Britain and Northern Ireland
Ironbridge Gorge	Cultural	United Kingdom of Great Britain and Northern Ireland
Studley Royal Park including the Ruins of Fountains Abbey	Cultural	United Kingdom of Great Britain and Northern Ireland
Stonehenge, Avebury and Associated Sites	Cultural	United Kingdom of Great Britain and Northern Ireland
Castles and Town Walls of King Edward in Gwynedd	Cultural	United Kingdom of Great Britain and Northern Ireland
St Kilda	Mixed	United Kingdom of Great Britain and Northern Ireland
Blenheim Palace	Cultural	United Kingdom of Great Britain and Northern Ireland
Palace of Westminster and Westminster Abbey including Saint Margaret’s Church	Cultural	United Kingdom of Great Britain and Northern Ireland
New Lanark	Cultural	United Kingdom of Great Britain and Northern Ireland
Henderson Island	Natural	United Kingdom of Great Britain and Northern Ireland
Tower of London	Cultural	United Kingdom of Great Britain and Northern Ireland
Canterbury Cathedral, St Augustine's Abbey, and St Martin's Church	Cultural	United Kingdom of Great Britain and Northern Ireland
Heart of Neolithic Orkney	Cultural	United Kingdom of Great Britain and Northern Ireland
Old and New Towns of Edinburgh	Cultural	United Kingdom of Great Britain and Northern Ireland
Gough and Inaccessible Islands	Natural	United Kingdom of Great Britain and Northern Ireland
Maritime Greenwich	Cultural	United Kingdom of Great Britain and Northern Ireland
Historic Town of St George and Related Fortifications, Bermuda	Cultural	United Kingdom of Great Britain and Northern Ireland
Blaenavon Industrial Landscape	Cultural	United Kingdom of Great Britain and Northern Ireland
Saltaire	Cultural	United Kingdom of Great Britain and Northern Ireland
Derwent Valley Mills	Cultural	United Kingdom of Great Britain and Northern Ireland
Royal Botanic Gardens, Kew	Cultural	United Kingdom of Great Britain and Northern Ireland
Liverpool – Maritime Mercantile City	Cultural	United Kingdom of Great Britain and Northern Ireland
Cornwall and West Devon Mining Landscape	Cultural	United Kingdom of Great Britain and Northern Ireland
Pontcysyllte Aqueduct and Canal	Cultural	United Kingdom of Great Britain and Northern Ireland
Mesa Verde National Park	Cultural	United States of America
Yellowstone National Park	Natural	United States of America
Grand Canyon National Park	Natural	United States of America
Everglades National Park	Natural	United States of America
Independence Hall	Cultural	United States of America
Redwood National and State Parks	Natural	United States of America
Mammoth Cave National Park	Natural	United States of America
Olympic National Park	Natural	United States of America
Cahokia Mounds State Historic Site	Cultural	United States of America
Great Smoky Mountains National Park	Natural	United States of America
La Fortaleza and San Juan National Historic Site in Puerto Rico	Cultural	United States of America
Statue of Liberty	Cultural	United States of America
Yosemite National Park	Natural	United States of America
Chaco Culture	Cultural	United States of America
Hawaii Volcanoes National Park	Natural	United States of America
Monticello and the University of Virginia in Charlottesville	Cultural	United States of America
Taos Pueblo	Cultural	United States of America
Carlsbad Caverns National Park	Natural	United States of America
Papahānaumokuākea	Mixed	United States of America
Historic Quarter of the City of Colonia del Sacramento	Cultural	Uruguay
Itchan Kala	Cultural	Uzbekistan
Historic Centre of Bukhara	Cultural	Uzbekistan
Samarkand  – Crossroad of Cultures	Cultural	Uzbekistan
Historic Centre of Shakhrisyabz	Cultural	Uzbekistan
Chief Roi Mata’s Domain	Cultural	Vanuatu
Coro and its Port	Cultural	Venezuela (Bolivarian Republic of)
Canaima National Park	Natural	Venezuela (Bolivarian Republic of)
Ciudad Universitaria de Caracas	Cultural	Venezuela (Bolivarian Republic of)
Ha Long Bay	Natural	Viet Nam
Complex of Hué Monuments	Cultural	Viet Nam
Hoi An Ancient Town	Cultural	Viet Nam
My Son Sanctuary	Cultural	Viet Nam
Phong Nha-Ke Bang National Park	Natural	Viet Nam
Central Sector of the Imperial Citadel of Thang Long - Hanoi	Cultural	Viet Nam
Citadel of the Ho Dynasty	Cultural	Viet Nam
Old Walled City of Shibam	Cultural	Yemen
Old City of Sana'a	Cultural	Yemen
Historic Town of Zabid	Cultural	Yemen
Socotra Archipelago	Natural	Yemen
Mana Pools National Park, Sapi and Chewore Safari Areas	Natural	Zimbabwe
Matobo Hills	Cultural	Zimbabwe
Great Zimbabwe National Monument	Cultural	Zimbabwe
Khami Ruins National Monument	Cultural	Zimbabwe
Tipasa	Cultural	Algeria,Algeria
Tassili n'Ajjer	Mixed	Algeria,Algeria,Algeria,Algeria
Península Valdés	Natural	Argentina,Argentina,Argentina,Argentina
Tasmanian Wilderness	Mixed	Australia,Australia
Wet Tropics of Queensland	Natural	Australia,Australia
Heard and McDonald Islands	Natural	Australia,Australia
Macquarie Island	Natural	Australia,Australia
Great Barrier Reef	Natural	Australia,Australia,Australia
Prehistoric Pile dwellings around the Alps	Cultural	Austria,France,Germany,Italy,Slovenia,Switzerland
Fertö / Neusiedlersee Cultural Landscape	Cultural	Austria,Hungary
The Sundarbans	Natural	Bangladesh,Bangladesh
Jesuit Missions of the Guaranis: San Ignacio Mini, Santa Ana, Nuestra Señora de Loreto and Santa Maria Mayor (Argentina), Ruins of Sao Miguel das Missoes (Brazil)	Cultural	Brazil,Argentina
Canadian Rocky Mountain Parks	Natural	Canada,Canada
Sangha Trinational	Natural	Congo,Central African Republic,Cameroon
Area de Conservación Guanacaste	Natural	Costa Rica,Costa Rica
Talamanca Range-La Amistad Reserves / La Amistad National Park	Natural	Costa Rica,Panama
Taï National Park	Natural	Côte d'Ivoire,Côte d'Ivoire
Comoé National Park	Natural	Côte d'Ivoire,Côte d'Ivoire
Mount Nimba Strict Nature Reserve	Natural	Côte d'Ivoire,Guinea
Old Havana and its Fortification System	Cultural	Cuba,Cuba
Trinidad and the Valley de los Ingenios	Cultural	Cuba,Cuba
Alejandro de Humboldt National Park	Natural	Cuba,Cuba
Archaeological Landscape of the First Coffee Plantations in the South-East of Cuba	Cultural	Cuba,Cuba
Painted Churches in the Troodos Region	Cultural	Cyprus,Cyprus
Colonial City of Santo Domingo	Cultural	Dominican Republic,Dominican Republic
Galápagos Islands	Natural	Ecuador,Ecuador
Sangay National Park	Natural	Ecuador,Ecuador
Wadi Al-Hitan (Whale Valley)	Natural	Egypt,Egypt
Fortress of Suomenlinna	Cultural	Finland,Finland
Petäjävesi Old Church	Cultural	Finland,Finland
Verla Groundwood and Board Mill	Cultural	Finland,Finland
Belfries of Belgium and France	Cultural	France,Belgium
Muskauer Park / Park Mużakowski	Cultural	Germany,Poland
Primeval Beech Forests of the Carpathians and the Ancient Beech Forests of  Germany	Natural	Germany,Slovakia,Ukraine
Forts and Castles, Volta, Greater Accra, Central and Western Regions	Cultural	Ghana,Ghana
Historic Centre of Rome, the Properties of the Holy See in that City Enjoying Extraterritorial Rights and San Paolo Fuori le Mura	Cultural	Holy See,Italy
Sundarbans National Park	Natural	India,India
Tropical Rainforest Heritage of Sumatra	Natural	Indonesia,Indonesia
Lorentz National Park	Natural	Indonesia,Indonesia,Indonesia,Indonesia
Komodo National Park	Natural	Indonesia,Indonesia,Indonesia,Indonesia,Indonesia
Sceilg Mhichíl	Cultural	Ireland,Ireland
Ouadi Qadisha (the Holy Valley) and the Forest of the Cedars of God (Horsh Arz el-Rab)	Cultural	Lebanon,Lebanon
Curonian Spit	Cultural	Lithuania,Lithuania,Russian Federation,Russian Federation
Tsingy de Bemaraha Strict Nature Reserve	Natural	Madagascar,Madagascar
Royal Hill of Ambohimanga	Cultural	Madagascar,Madagascar
Megalithic Temples of Malta	Cultural	Malta,Malta,Malta
Ancient <I>Ksour</I> of Ouadane, Chinguetti, Tichitt and Oualata	Cultural	Mauritania,Mauritania
Aapravasi Ghat	Cultural	Mauritius,Mauritius,Mauritius
Uvs Nuur Basin	Natural	Mongolia,Mongolia,Russian Federation,Russian Federation
Sagarmatha National Park	Natural	Nepal,Nepal,Nepal
The Wadden Sea	Natural	Netherlands,Germany
Schokland and Surroundings	Cultural	Netherlands,Netherlands
Defence Line of Amsterdam	Cultural	Netherlands,Netherlands
Mill Network at Kinderdijk-Elshout	Cultural	Netherlands,Netherlands
Ir.D.F. Woudagemaal (D.F. Wouda Steam Pumping Station)	Cultural	Netherlands,Netherlands
Droogmakerij de Beemster (Beemster Polder)	Cultural	Netherlands,Netherlands
Tongariro National Park	Mixed	New Zealand,New Zealand,New Zealand
Te Wahipounamu – South West New Zealand	Natural	New Zealand,New Zealand,New Zealand
Air and Ténéré Natural Reserves	Natural	Niger,Niger
Bryggen	Cultural	Norway,Norway,Norway
Vegaøyan -- The Vega Archipelago	Cultural	Norway,Norway,Norway,Norway
Chan Chan Archaeological Zone	Cultural	Peru,Peru
Huascarán National Park	Natural	Peru,Peru,Peru
Tubbataha Reefs Natural Park	Natural	Philippines,Philippines
Rice Terraces of the Philippine Cordilleras	Cultural	Philippines,Philippines
Belovezhskaya Pushcha / Białowieża Forest	Natural	Poland,Poland,Belarus,Belarus
Prehistoric Rock Art Sites in the Côa Valley and Siega Verde	Cultural	Portugal,Spain
Golden Mountains of Altai	Natural	Russian Federation,Russian Federation
Natural System of Wrangel Island Reserve	Natural	Russian Federation,Russian Federation
Pitons Management Area	Natural	Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia
Stone Circles of Senegambia	Cultural	Senegal,Gambia
Aldabra Atoll	Natural	Seychelles,Seychelles
Caves of Aggtelek Karst and Slovak Karst	Natural	Slovakia,Hungary
Heritage of Mercury. Almadén and Idrija	Cultural	Slovenia,Spain
Maloti-Drakensberg Park	Mixed	South Africa,Lesotho
iSimangaliso Wetland Park	Natural	South Africa,South Africa,South Africa
Cape Floral Region Protected Areas	Natural	South Africa,South Africa,South Africa,South Africa,South Africa,South Africa
Pyrénées - Mont Perdu	Mixed	Spain,France
Doñana National Park	Natural	Spain,Spain,Spain,Spain
Ancient City of Sigiriya	Cultural	Sri Lanka,Sri Lanka
Sinharaja Forest Reserve	Natural	Sri Lanka,Sri Lanka
Sacred City of Kandy	Cultural	Sri Lanka,Sri Lanka
Old Town of Galle and its Fortifications	Cultural	Sri Lanka,Sri Lanka
Golden Temple of Dambulla	Cultural	Sri Lanka,Sri Lanka
High Coast / Kvarken Archipelago	Natural	Sweden,Finland
Monte San Giorgio	Natural	Switzerland,Italy
Rhaetian Railway in the Albula / Bernina Landscapes	Cultural	Switzerland,Italy
Ichkeul National Park	Natural	Tunisia,Tunisia,Tunisia,Tunisia,Tunisia
Wooden Tserkvas of the Carpathian Region in Poland and Ukraine	Cultural	Ukraine,Poland
Struve Geodetic Arc	Cultural	Ukraine,Sweden,Russian Federation,Moldova, Republic of,Norway,Lithuania,Latvia,Finland,Estonia,Belarus
Frontiers of the Roman Empire	Cultural	United Kingdom of Great Britain and Northern Ireland,Germany
City of Bath	Cultural	United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland
Dorset and East Devon Coast	Natural	United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland
Waterton Glacier International Peace Park	Natural	United States of America,United States of America,Canada,Canada
Kluane / Wrangell-St. Elias / Glacier Bay / Tatshenshini-Alsek	Natural	United States of America,United States of America,United States of America,Canada,Canada,Canada
Mosi-oa-Tunya / Victoria Falls	Natural	Zambia,Zimbabwe
