PubName,Longitude,Latitude
"The Hare and Hounds",-0.9828846,51.5188193
"Bottle and Glass",-0.9295643,51.5081943
"The Flemming Arms",-1.1849949,50.7272336
"The Eight Bells",-1.3113094,50.6913494
"Woodmans Arms",-1.2450141,50.7169427
"Vine Inn",-1.1119796,50.6979612
"Sportsmans Rest",-1.3687621,50.7188564
"Shoulder of Mutton",-1.8195743,52.6683143
"George Inn",-1.2953048,50.6985959
"The Castle Inn",-1.2977975,50.6993402
"Cask and Crispin",-1.2988961,50.6986117
"Princess Royal",-1.2845088,50.7034075
"Rookley Inn",-1.277406,50.652456
"Mill Bay Inn",-1.2063105,50.5933368
"The Bell",-1.4828244,51.8722732
"Rose And Crown",-1.482625,51.8726817
"The Bull",-1.4822445,51.8727178
"The Plough",-1.4765408,51.8426129
"The Cock Inn",-1.4034937,51.8403361
"The Bell",-1.3844203,51.825529
"George & Dragon",-1.3823111,51.8258528
"The Royal Oak",-0.6015827,52.1927602
"The Fox",-0.6060269,52.1872032
"Railway Bell",0.0278591,51.5920255
"The George",0.0281703,51.5760072
"The Eagle, Tobey Carvery",0.020594,51.58312
"Bear and Ragged Staff",-1.523339,51.0308521
"Ponda Rosa",-1.1677387,50.7027989
"Bugle Inn",-1.1432465,50.6812661
"Wheatsheaf Inn",-1.1438044,50.679939
"Spyglass Inn",-1.2104096,50.5929499
"King Harry",-1.1782573,50.6251954
"Village Inn",-1.1785684,50.6254778
"The Cormorant",-1.1175237,50.8387358
"The Fox Inn",-1.1243096,51.0468039
"The Red Lion",-1.1241594,50.8465692
"The Wicor Mill",-1.1368103,50.8435799
"Union Inn",-1.298482,50.7646202
"Waterside",-1.2982593,50.7642572
"Fountain Inn",-1.297607,50.7626719
"Vectis Tavern",-1.2977851,50.7624958
"Bar at the Brandling",-1.6105608,54.9849995
"The Cock Inn",-0.5299905,52.0943283
"The Lonsdale",-1.6092561,54.9938554
"The Waterline",-1.602278,54.9702521
"The Black Bull",-1.627127,54.9758031
"Villa Victoria",-1.6276014,54.9690208
"The Globe",-1.6251139,54.9646236
"Rosie's Bar",-1.6194751,54.9732796
"The Old Boat",-1.7563313,52.7322828
"The Harrow",-0.444153,51.409935
"Two Brothers",-1.3528126,50.9325666
"Old Comical",-1.1552125,50.6547621
"Prince of Wales",-1.5291712,50.685812
"The Vine",-1.526007,50.6828647
"Egerton Arms",-2.943188,53.2125769
"Greyhound Inn PH",-2.9603156,53.2228407
"The Granby",-0.9488374,51.4528844
"Kings Tavern",-0.956002,51.4534663
"The Monks' Retreat",-0.9705757,51.4565512
"The Jolly Anglers",-0.9521361,51.4568374
"The Mulberry Bush",-0.4863178,52.1146051
"The Duke",-0.4966327,52.1137559
"The Royal Oak",-0.4977594,52.1121678
"The Golden Lion",-2.7428741,53.2175293
"Oak PH",-2.720985,53.2071932
"King William IV",-0.5041856,52.1153175
"The Half Moon",-0.5070457,52.1147188
"The Red Cow",-0.9698005,51.4501737
"The Fishermans Cottage",-0.955499,51.4555716
"Green Park Tavern",-2.3684174,51.3786642
"Fleece Inn",-0.7856075,53.9852259
"Hawkley Inn",-0.9358952,51.0565325
"Beefeater",-0.6838078,52.2932345
"Oxford Tavern",-0.7000422,52.3004241
"The Grosvenor",-2.8969467,53.2886671
"The Westminster",-2.8964227,53.2849822
"Dun Cow",-0.6984758,52.3061618
"Fox and Hounds",-0.6978613,52.3065804
"Park Tavern",-0.6914233,52.3050076
